,ReviewStar,count,product
0,5,1256,JBL T205
1,4,450,JBL T205
2,3,213,JBL T205
3,2,118,JBL T205
4,1,331,JBL T205
5,5,986,Samsung BT-EOEG920BR
6,4,238,Samsung BT-EOEG920BR
7,3,170,Samsung BT-EOEG920BR
8,2,85,Samsung BT-EOEG920BR
9,1,204,Samsung BT-EOEG920BR
10,5,109,Sennheiser Momentum
11,4,27,Sennheiser Momentum
12,3,23,Sennheiser Momentum
13,2,19,Sennheiser Momentum
14,1,13,Sennheiser Momentum
15,5,10569,Skullcandy Ink'd 2.0
16,4,3666,Skullcandy Ink'd 2.0
17,3,1941,Skullcandy Ink'd 2.0
18,2,1509,Skullcandy Ink'd 2.0
19,1,4314,Skullcandy Ink'd 2.0
20,5,332,Auriculares con Cables
21,4,136,Auriculares con Cables
22,3,59,Auriculares con Cables
23,2,29,Auriculares con Cables
24,1,35,Auriculares con Cables
25,5,41,Xiaomi
26,4,8,Xiaomi
27,3,2,Xiaomi
28,2,1,Xiaomi
29,1,6,Xiaomi
